,Name,Price,Location,Model_Year,Mileage,Fuel_Type,Transmission,Year,Price_per_Mile,Brand,Brand_Model,Fuel,County
1506,"Volvo XC60 D4 AWD Geartronic Classic, Summum / Värmare, GPS",232000,"19561 Arlandastad, Stockholm",Mar 2017,13800,2.4L Diesel,Automatic,2017,16.81159420289855,Volvo,Volvo XC60,Diesel,Stockholm
1507,Mercedes GLS400 AMG Burmester® 3D *SE SPEC* 330hk,849900,"44245 Kungälv, Västra Götaland",Jan 2019,5579,2.9L Diesel,Automatic,2019,152.33912887614267,Mercedes,Mercedes GLS400,Diesel,Västra Götaland
1508,"Kia ProCeed GT Backkamera, JBL, Navigation, CarPlay 204hk",209900,"44245 Kungälv, Västra Götaland",May 2019,9210,1.6L Petrol,Automatic,2019,22.79044516829533,Kia,Kia ProCeed,Petrol,Västra Götaland
1509,"Volvo XC60 Polestar Optimering T6 AWD Momentum, R-Design",274000,"a  ARLANDASTAD, Stockholm",Aug 2016,8140,2.0L Petrol,Automatic,2016,33.66093366093366,Volvo,Volvo XC60,Petrol,Stockholm
1510,Ford Mondeo 1.5 EcoBoost,164000,"13540, Stockholm",2017,4070,1.5L Petrol,Automatic,2017,40.29484029484029,Ford,Ford Mondeo,Petrol,Stockholm
1511,Toyota Yaris 5-dörrar 1.33 Dual VVT-i / Backkamera,108000,"a  ARLANDASTAD, Stockholm",Oct 2015,4750,1.3L Petrol,Manual,2015,22.736842105263158,Toyota,Toyota Yaris,Petrol,Stockholm
1512,"Ford Focus Kombi 1.5 EcoBoost / NYSERVAD, Dragkrok, PDC-Bak",126000,"13540, Stockholm",Jun 2016,11660,1.5L Petrol,Automatic,2016,10.806174957118353,Ford,Ford Focus,Petrol,Stockholm
1513,Nissan Leaf 40 kWh Tekna,154900,"11347 Stockholm, Stockholm",Aug 2018,8922,Electric,Automatic,2018,17.361578121497423,Nissan,Nissan Leaf,Electric,Stockholm
1514,"Mercedes C220 d 4MATIC 7G-Tronic Plus / Dragkrok, PDC",183000,"a  ARLANDASTAD, Stockholm",Dec 2015,14910,2.1L Diesel,Automatic,2015,12.273641851106639,Mercedes,Mercedes C220,Diesel,Stockholm
1515,Audi A3 Sportback 1.5 TFSI COD Proline PDC Låg skatt,174900,"442 45 Kungälv, Västra Götaland",2018,5798,1.5L Petrol,Manual,2018,30.165574335977922,Audi,Audi A3,Petrol,Västra Götaland
