Name,Price,Location,Model_Year,Mileage,Fuel_Type,Gearbox,Gearbox2
Volvo V60 D5 PHEV AWD Classic Summum|Värmare|Navi|PDC|,189900kr,"141 74 Segeltorp, Stockholm",2018,9612 mil,2.4L Hybrid,Manual,163 HP (119 kW)
Mercedes C200 4MATIC 204hk|AMG|Navi|360°Kamera|Carplay|,429900kr,"141 74 Segeltorp, Stockholm",2023,3186 mil,1.5L Petrol,Automatic,204 HP (150 kW)
Kia e-Niro Niro0% räntakampanj,249900kr,"213 75 Malmö, Skåne",2021,6524 mil,Electric,≈ 455 km,Automatic
Kia Ceed 1.0 T-GDI (120hk) ADVANCE / BACKKAMERA,159900kr,"431 53 Mölndal, Västra Götaland",2019,7382 mil,1.0L Petrol,Manual,120 HP (88 kW)
"Ford Mustang Mach-E Long Range, 294hk, 2022 |TEKNIKPAKET+|DRAG|",399900kr,"431 53 Mölndal, Västra Götaland",2022,6669 mil,Electric,Automatic,216 kW (294 HP)
"Ford Mustang Mach-E Mustang Mach-E STANDARD RANGE, 269HK",359900kr,"291 50 Kristianstad, Skåne",2021,2900 mil,Electric,≈ 440 km,Automatic
"Ford Fiesta Titanium 1,0 Automat Kupe o Motorvärmare",159900kr,"141 74 Segeltorp, Stockholm",2021,3916 mil,1.0L Petrol,Automatic,124 HP (91 kW)
MG EHS PLUG-IN HYBRID LUXURY NAVI 360 CARPLAY,234900kr,"141 74 Segeltorp, Stockholm",2021,5648 mil,1.5L Hybrid,Automatic,259 HP (190 kW)
Kia e-Niro Niro EVACTION,349900kr,"141 74 Segeltorp, Stockholm",Mar 2023,1242 mil,Electric,≈ 463 km,Automatic
"Kia e-Niro NiroAdvance, Skinn, Kamera, Carplay",364900kr,"291 50 Kristianstad, Skåne",2024,1491 mil,Electric,≈ 463 km,Automatic
Volvo XC60 Recharge T6 AWD 340hk AUT/PANO/NAV/APPLE/MOMS,394900kr,"291 50 Kristianstad, Skåne",2022,7547 mil,2.0L Hybrid,Automatic,340 HP (250 kW)
